               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12019,            0.027465,            0.061492,          0.00049131,               0.075,           0.0020773,          0.00033932,            0.072913,            0.023456,            0.038772,              0.0973,              0.0003,              0.0003
                   1,             0.11417,            0.026886,            0.058157,           0.0015059,             0.36667,            0.020236,           0.0030198,            0.067647,            0.022136,            0.038735,            0.093686,          0.00068614,          0.00068614
                   2,             0.10675,            0.026437,              0.0523,             0.00148,             0.43611,             0.03336,            0.011279,            0.059604,            0.020881,            0.038716,            0.090056,           0.0010564,           0.0010564
                   3,            0.091914,            0.026365,            0.050784,             0.00162,             0.57778,            0.082922,            0.023187,            0.051628,            0.019369,            0.038489,            0.086411,           0.0014109,           0.0014109
                   4,            0.085241,            0.024666,            0.053029,           0.0016286,             0.57778,            0.088287,            0.024568,            0.049313,            0.018422,            0.037959,             0.08275,           0.0017495,           0.0017495
                   5,            0.084387,             0.02722,            0.053546,           0.0025597,             0.82222,             0.07493,             0.02567,            0.047243,            0.017229,            0.037104,            0.079072,           0.0020723,           0.0020723
                   6,            0.078357,             0.02541,            0.051743,           0.0031417,             0.91111,            0.081662,            0.031059,            0.042857,            0.016292,            0.035936,            0.075379,           0.0023792,           0.0023792
                   7,            0.080014,            0.025611,            0.047809,           0.0034854,             0.96667,             0.12713,            0.037945,            0.038324,            0.015454,            0.035022,             0.07167,           0.0026703,           0.0026703
                   8,            0.070221,            0.023558,            0.047062,           0.0035714,                   1,             0.11627,            0.048326,            0.035919,            0.014528,            0.034557,            0.067946,           0.0029456,           0.0029456
                   9,            0.072469,            0.025414,             0.04822,            0.003522,                   1,              0.2776,             0.14025,            0.032643,            0.013816,            0.034083,            0.064205,            0.003205,            0.003205
                  10,            0.059198,            0.022977,            0.045909,            0.003523,                   1,             0.43416,             0.21607,            0.032778,             0.01255,            0.033364,            0.060449,           0.0034486,           0.0034486
                  11,            0.061919,            0.023327,            0.044423,            0.048011,             0.83333,             0.37805,             0.15428,               0.035,            0.011096,            0.032493,            0.056676,           0.0036763,           0.0036763
                  12,            0.061476,            0.019416,            0.041452,              0.6582,             0.41667,             0.40915,             0.20567,            0.029715,            0.010859,            0.031564,            0.052888,           0.0038882,           0.0038882
                  13,            0.065159,            0.019508,            0.044031,             0.37803,             0.13889,             0.19145,            0.080508,            0.038161,           0.0099908,            0.031015,            0.049084,           0.0040843,           0.0040843
                  14,            0.049673,            0.018889,            0.038924,             0.35993,             0.10887,             0.16138,            0.053342,            0.044382,           0.0093419,            0.029097,            0.045265,           0.0042645,           0.0042645
                  15,            0.067507,            0.017897,            0.042266,             0.59691,             0.22222,             0.37275,             0.16026,            0.035117,           0.0092521,             0.02809,            0.041429,           0.0044289,           0.0044289
                  16,            0.059095,            0.019198,            0.041056,             0.62269,             0.45833,             0.45405,             0.23172,            0.030592,            0.009603,             0.02795,            0.037577,           0.0045774,           0.0045774
                  17,            0.048561,            0.021307,            0.039646,              0.5773,             0.40697,             0.39145,            0.081741,            0.039652,            0.008586,            0.026354,             0.03371,           0.0047101,           0.0047101
                  18,            0.062992,            0.019039,            0.040938,             0.59596,             0.44444,             0.45127,             0.13846,            0.036171,           0.0086302,            0.025615,            0.029827,            0.004827,            0.004827
                  19,            0.058297,            0.016545,            0.045327,             0.46525,             0.46555,             0.55262,             0.22676,             0.02927,           0.0086901,            0.024869,            0.025928,            0.004928,            0.004928
                  20,            0.054259,             0.01989,            0.039121,             0.49564,             0.72263,             0.55288,             0.18147,            0.030865,           0.0081566,            0.024064,            0.022013,           0.0050132,           0.0050132
                  21,            0.050058,            0.016736,            0.043162,             0.52497,             0.81193,             0.56473,               0.277,            0.036502,           0.0077005,            0.023655,            0.018083,           0.0050825,           0.0050825
                  22,            0.052379,            0.018719,            0.042881,             0.54321,                 0.8,             0.67076,             0.40349,            0.027521,           0.0079182,            0.023539,            0.014136,            0.005136,            0.005136
                  23,            0.048829,            0.020023,            0.038387,             0.56095,                 0.8,             0.67897,             0.26254,            0.032663,           0.0073098,            0.023478,            0.010174,           0.0051737,           0.0051737
                  24,            0.051628,            0.019343,            0.037464,             0.65301,             0.79596,             0.68212,             0.29707,             0.03252,           0.0073462,            0.023468,           0.0061955,           0.0051955,           0.0051955
                  25,            0.047949,            0.016326,             0.03708,             0.60091,             0.76485,             0.60624,             0.22391,            0.026535,           0.0072138,            0.023102,             0.00505,             0.00505,             0.00505
                  26,            0.049891,            0.015033,            0.036904,             0.68608,             0.81865,             0.70254,             0.36836,            0.031234,           0.0068283,            0.023003,             0.00505,             0.00505,             0.00505
                  27,            0.048133,            0.016193,            0.040476,             0.64438,             0.79889,             0.74665,             0.24727,            0.027404,           0.0068792,            0.022362,            0.004852,            0.004852,            0.004852
                  28,            0.049062,              0.0169,            0.036609,             0.44226,             0.58611,             0.53119,             0.18535,            0.035524,           0.0064477,            0.022066,            0.004654,            0.004654,            0.004654
                  29,            0.049508,            0.016186,            0.041254,               0.593,              0.8234,             0.75455,             0.36648,            0.026541,           0.0065707,            0.021922,            0.004456,            0.004456,            0.004456
                  30,            0.046827,            0.015442,            0.037308,             0.53372,             0.75171,             0.63359,             0.24479,            0.032036,            0.006546,            0.021471,            0.004258,            0.004258,            0.004258
                  31,             0.04833,            0.016573,            0.038654,             0.70823,             0.76264,             0.76323,             0.43309,            0.023562,           0.0064367,            0.021471,             0.00406,             0.00406,             0.00406
                  32,            0.046423,            0.012458,            0.033836,             0.76417,             0.75218,             0.77153,             0.41643,            0.026505,           0.0064474,            0.020946,            0.003862,            0.003862,            0.003862
                  33,            0.045302,            0.014726,            0.036776,             0.72495,             0.77591,             0.78129,             0.37639,            0.025754,           0.0062121,            0.020867,            0.003664,            0.003664,            0.003664
                  34,            0.042232,            0.014722,            0.039595,              0.7622,             0.76857,             0.86421,              0.4677,            0.022997,            0.006206,            0.020583,            0.003466,            0.003466,            0.003466
                  35,             0.03588,            0.012761,            0.034396,             0.68674,             0.76117,              0.7314,              0.3102,            0.025942,           0.0060475,            0.020358,            0.003268,            0.003268,            0.003268
                  36,            0.043941,            0.013312,            0.037768,              0.7355,             0.77043,             0.75365,             0.44076,             0.02111,           0.0059745,            0.020481,             0.00307,             0.00307,             0.00307
                  37,            0.033802,            0.014303,            0.030117,             0.69857,             0.77527,             0.73983,             0.40331,             0.02474,           0.0058897,            0.020128,            0.002872,            0.002872,            0.002872
                  38,            0.044905,            0.014818,            0.036681,              0.7594,             0.79999,             0.75221,             0.41538,            0.022196,           0.0059378,            0.020162,            0.002674,            0.002674,            0.002674
                  39,            0.042618,            0.013411,            0.033569,             0.73979,             0.81105,             0.79367,              0.4355,            0.020234,           0.0059377,            0.020004,            0.002476,            0.002476,            0.002476
                  40,            0.040118,            0.014114,            0.037816,             0.73903,             0.82047,             0.77985,              0.4424,             0.01857,           0.0059599,            0.019893,            0.002278,            0.002278,            0.002278
                  41,            0.038308,            0.015204,            0.034163,             0.76311,             0.82235,             0.77985,             0.47754,            0.018846,           0.0059147,            0.019748,             0.00208,             0.00208,             0.00208
                  42,            0.035707,            0.013514,            0.031492,             0.73438,             0.80556,             0.77632,             0.42713,            0.020534,           0.0058998,            0.019659,            0.001882,            0.001882,            0.001882
                  43,            0.039496,            0.013807,            0.030716,             0.76439,             0.83333,             0.77985,             0.47175,            0.018519,           0.0058588,            0.019633,            0.001684,            0.001684,            0.001684
                  44,            0.037351,            0.014605,            0.032097,             0.77283,             0.83333,             0.79367,             0.49719,            0.018632,           0.0058276,            0.019592,            0.001486,            0.001486,            0.001486
                  45,            0.039155,            0.011186,            0.030751,             0.77356,             0.83333,             0.79367,             0.47781,            0.018279,           0.0057893,            0.019595,            0.001288,            0.001288,            0.001288
                  46,            0.037454,             0.01428,            0.039034,             0.77281,             0.83333,             0.87659,             0.57816,            0.017751,           0.0057286,            0.019666,             0.00109,             0.00109,             0.00109
                  47,            0.035596,            0.012634,            0.034831,             0.76936,             0.83333,             0.87659,             0.55659,            0.017477,           0.0056778,            0.019653,            0.000892,            0.000892,            0.000892
                  48,            0.034946,            0.012832,            0.035194,             0.77168,             0.83333,             0.79367,             0.52073,            0.017198,           0.0056227,            0.019664,            0.000694,            0.000694,            0.000694
                  49,            0.035624,            0.015043,            0.034903,              0.7764,             0.83333,             0.79772,             0.51691,             0.01701,           0.0056042,            0.019608,            0.000496,            0.000496,            0.000496
