               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12032,            0.027563,            0.061524,          0.00034153,            0.033333,           0.0004161,           4.161e-05,            0.073898,            0.023673,            0.038797,              0.0973,              0.0003,              0.0003
                   1,             0.11664,            0.027218,            0.058635,           0.0011754,             0.25556,           0.0049598,          0.00081471,            0.072555,            0.022782,            0.039213,            0.093469,            0.000469,            0.000469
                   2,             0.11538,            0.026931,            0.054485,          0.00042463,            0.055556,           0.0041129,           0.0012187,            0.069539,            0.022076,            0.038461,            0.089374,            0.000374,            0.000374
