               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12032,            0.027563,            0.061524,          0.00030469,            0.033333,          0.00034754,          3.4754e-05,            0.073898,            0.023673,            0.038797,              0.0973,              0.0003,              0.0003
                   1,             0.11615,             0.02724,            0.058523,           0.0013686,             0.33889,            0.012025,           0.0017226,            0.071403,            0.022595,            0.039116,            0.093677,           0.0006769,           0.0006769
                   2,             0.11045,            0.027103,            0.053502,           0.0013108,             0.21944,           0.0098232,           0.0014441,            0.064475,            0.021843,            0.037675,            0.090027,           0.0010274,           0.0010274
                   3,            0.095638,            0.027148,            0.052998,           0.0016932,               0.475,            0.014427,           0.0033224,            0.057044,            0.020669,            0.038671,            0.086351,           0.0013515,           0.0013515
                   4,             0.08996,            0.025622,            0.054087,           0.0011616,             0.30278,             0.01156,           0.0033524,            0.054741,            0.020105,            0.039319,            0.082649,           0.0016492,           0.0016492
                   5,            0.088025,            0.028304,            0.053413,           0.0012996,             0.32778,            0.011204,           0.0039123,            0.052107,            0.019259,            0.037606,            0.078921,           0.0019205,           0.0019205
                   6,            0.082867,            0.026821,            0.054695,           0.0017667,               0.425,            0.020504,             0.01418,            0.048123,            0.018433,             0.03696,            0.075165,           0.0021654,           0.0021654
                   7,            0.086826,            0.027218,            0.050814,           0.0022361,             0.59167,            0.033355,            0.015465,            0.043909,             0.01751,            0.036195,            0.071384,           0.0023839,           0.0023839
                   8,            0.077713,            0.025033,            0.048435,           0.0027778,               0.875,            0.073238,            0.025687,            0.041167,            0.016623,            0.036023,            0.067576,            0.002576,            0.002576
                   9,            0.075083,            0.026928,            0.050237,            0.003067,             0.95833,             0.13519,            0.032437,             0.03894,            0.015713,            0.035206,            0.063742,           0.0027417,           0.0027417
                  10,            0.063184,            0.025135,            0.048141,           0.0031914,                   1,             0.24645,            0.065851,            0.036641,            0.015046,            0.034763,            0.059881,            0.002881,            0.002881
                  11,            0.063114,            0.025973,            0.047461,           0.0033784,                   1,             0.28252,            0.094394,            0.035964,             0.01416,            0.034096,            0.055994,           0.0029939,           0.0029939
                  12,            0.062759,            0.022503,            0.042767,           0.0033663,                   1,             0.32893,             0.13283,            0.032882,            0.013639,            0.033461,             0.05208,           0.0030804,           0.0030804
                  13,            0.062464,             0.02253,            0.046697,           0.0071916,                   1,             0.39294,             0.09347,            0.033017,            0.013272,            0.033408,            0.048141,           0.0031405,           0.0031405
                  14,            0.048395,            0.022299,            0.039994,             0.47812,             0.34722,             0.37718,             0.12965,            0.036061,            0.012386,            0.032339,            0.044174,           0.0031742,           0.0031742
                  15,            0.061968,            0.021047,            0.044242,             0.38659,             0.27778,             0.33728,             0.16144,            0.034136,             0.01213,            0.032112,            0.040182,           0.0031815,           0.0031815
                  16,            0.059126,              0.0213,            0.044945,             0.77079,             0.13889,             0.45586,             0.15938,            0.031241,            0.012059,            0.031687,            0.036162,           0.0031624,           0.0031624
                  17,            0.050702,            0.023065,            0.042194,             0.60734,             0.18857,             0.54804,             0.18532,            0.033228,            0.011265,             0.03027,            0.032117,           0.0031169,           0.0031169
                  18,            0.058185,            0.022363,            0.045829,             0.57716,             0.39436,             0.61316,             0.32226,            0.027413,            0.011637,            0.029604,            0.028045,            0.003045,            0.003045
                  19,            0.055995,            0.019045,            0.046382,             0.49882,              0.3943,             0.64475,             0.27282,            0.031493,            0.010947,            0.028772,            0.023947,           0.0029467,           0.0029467
                  20,            0.055665,             0.02207,            0.042199,             0.45408,             0.40833,             0.49116,             0.17103,            0.029477,            0.010442,            0.028001,            0.019822,            0.002822,            0.002822
                  21,            0.044994,            0.019346,            0.045668,             0.47303,             0.49159,             0.47556,             0.26167,            0.027442,            0.010396,            0.027891,            0.015671,           0.0026709,           0.0026709
                  22,            0.052469,            0.021018,            0.044766,             0.51063,             0.55489,             0.54598,             0.31311,            0.024806,            0.010259,            0.027813,            0.011493,           0.0024934,           0.0024934
                  23,            0.046054,            0.022731,            0.042856,             0.51102,              0.7001,             0.54125,             0.31573,             0.02445,            0.010142,            0.027373,           0.0072895,           0.0022895,           0.0022895
                  24,            0.045457,            0.022403,            0.039818,             0.50153,             0.74327,             0.54152,             0.29218,            0.028915,           0.0097441,            0.026732,           0.0030592,           0.0020592,           0.0020592
                  25,            0.048027,            0.018405,            0.040866,             0.51813,             0.77422,             0.51494,             0.28926,            0.024925,           0.0096878,            0.026519,             0.00175,             0.00175,             0.00175
                  26,            0.049085,            0.017439,            0.040602,             0.51214,             0.77101,             0.52922,              0.2875,            0.023953,           0.0094465,            0.026109,             0.00175,             0.00175,             0.00175
                  27,            0.044482,            0.018591,            0.042964,             0.46223,                 0.8,             0.50398,             0.30928,            0.024348,           0.0093041,            0.025736,             0.00142,             0.00142,             0.00142
                  28,            0.043579,            0.020192,            0.041454,             0.49564,             0.83333,             0.57256,             0.30513,             0.02254,           0.0092766,            0.025507,             0.00109,             0.00109,             0.00109
                  29,            0.048172,            0.018758,            0.044568,             0.49827,                 0.8,             0.51926,             0.31246,            0.023044,           0.0091608,            0.025348,             0.00076,             0.00076,             0.00076
